Input,M1,M2,M3,M4
ہم چاہیں تو اسے سخت کھاری بنا کر رکھ دیں، پھر کیوں تم شکر گزار نہیں ہوتے؟,1,1,1,1
لکڑی کا صندوق، میرے خیال سے یہ ایک پرانا تابوت ہے,1,3,1,4
اسی طرح وه لوگ بھی پھیرے جاتے رہے جو اللہ کی آیتوں کا انکار کرتے تھے,1,1,1,1
میں تم سے اور جنہیں الله کے سوا پوجتے ہو بیزار ہوں پھر کیا تمھیں عقل نہیں ہے,1,1,4,1
لوگ سہمی ہوئی نگاہوں کے ساتھ اپنی قبروں سے اِس طرح نکلیں گے گویا وہ بکھری ہوئی ٹڈیاں ہیں,1,4,2,3
قدم رکھا جا رہا ہے کے ہمارے دن Titans کے زیادہ تاکنا.,1,2,3,4
اور زمین کی طرف نہیں دیکھتے کہ کیسے بچھائی گئی ہے۔,1,4,2,2
اور وہی ہے بخشنے والا محبت کرنے والا,1,4,1,1
ان لوگوں نے اللہ کے لیے اسی کی پیدا کی ہوئی کھیتی اور مویشیوں میں ایک حصہ مقرر کر رکھا ہے اور اپنے خیال کے مطابق کہتے ہیں کہ یہ حصہ اللہ کا ہے اور یہ ہمارے شریکوں (دیوتاؤں) کا ہے۔ جو حصہ ان کے شریکوں کا ہوتا ہے وہ تو اللہ کو نہیں پہنچتا اور جو حصہ اللہ کا ہے وہ ان کے شریکوں تک پہنچ جاتا ہے یہ لوگ کیا ہی برا فیصلہ کرتے ہیں۔,2,3,3,1
بے شک تم عورتوں کو چھوڑ کر مردوں سے شہوت رانی کرتے ہو بلکہ تم حد سے بڑھنے والے ہو,1,4,2,3
میں تم جانتے ہو سب کچھ بتا دے گا.,3,2,1,3
Parre میری بیوی اور بیٹے کو دیکھنے کے.,3,1,1,4
وہ جس نے مجھے پیدا کیا سو وہی مجھے ہدایت فرماتا ہے،,1,2,4,2
اور لوگوں نے یہ کہنا شروع کردیا کہ اللہ نے کسی کو بیٹا بنالیا ہے حالانکہ وہ اس امر سے پاک و پاکیزہ ہے بلکہ وہ سب اس کے محترم بندے ہیں,1,4,2,2
تم ایک ہی ہار کی دو پہن سکتا ہے؟,1,2,3,4
کراکوژیہ جانے والی پرواز 866 اگلے اعلان تک موخر کر دی گئی ہے۔ کیا تم نے وقت لیا ہے؟,1,3,1,4
بیشک ان حوروں کو ہم نے ایجاد کیا ہے,1,4,1,3
وہ کہیں گے: ایک دن یا ایک دن کا بھی کچھ عرصہ۔ سو تو گننے والوں سے پوچھ لے۔,2,2,1,4
بیشک (یہ جھٹلانا) کافروں پر حسرت ہے,1,2,2,2
اسی کی طرف تم سب کو پلٹ کر جانا ہے، یہ اللہ کا پکا وعدہ ہے بے شک پیدائش کی ابتدا وہی کرتا ہے، پھر وہی دوبارہ پیدا کرے گا، تاکہ جو لوگ ایمان لائے اور جنہوں نے نیک عمل کیے ان کو پورے انصاف کے ساتھ جزا دے، اور جنہوں نے کفر کا طریقہ اختیار کیا وہ کھولتا ہوا پانی پییں اور دردناک سزا بھگتیں اُس انکار حق کی پاداش میں جو وہ کرتے رہے,1,3,4,2
-کس کو؟ جی ہاں!,1,3,1,4
کیونکہ اس وقت ہزاروں کی تعداد میں لاہوری مرد اور خواتین اسپتالوں کے باہر خون کا عطیہ دینے کے لئے قطاروں میں کھڑے ہیں۔,1,1,4,1
تصویر از مشارت الله جان.,1,4,2,3
اے ایمان والو اگر کوئی فاسق تمہاے پاس کوئی سی خبر لائے تو اس کی تحقیق کیا کرو کہیں کسی قوم پر بے خبری سے نہ جا پڑو پھر اپنے کیے پر پشیمان ہونے لگو,2,4,2,1
تو یہ آپ کی غلطی ہے,1,2,4,2
یہ کہنے لگیں میں تجھ سے رحمٰن کی پناه مانگتی ہوں اگر تو کچھ بھی اللہ سے ڈرنے واﻻ ہے,1,4,1,1
- مسٹر تم کچھ جانتے ہیں اور مجھے اس کا یقین ہے.,1,2,3,3
اس نے آسمان اور زمین بجا بنائے وہ ان کے شرک سے برتر ہے،,2,3,4,1
پھر جب ان کے پاس ہمارے حضور سے حق آپہنچا (تو) وہ کہنے لگے کہ اس (رسول) کو ان (نشانیوں) جیسی (نشانیاں) کیوں نہیں دی گئیں جو موسٰی (علیہ السلام) کو دی گئیں تھیں؟ کیا انہوں نے ان (نشانیوں) کا انکار نہیں کیا تھا جو اس سے پہلے موسٰی (علیہ السلام) کو دی گئی تھیں؟ وہ کہنے لگے کہ دونوں (قرآن اور تورات) جادو ہیں (جو) ایک دوسرے کی تائید و موافقت کرتے ہیں، اور انہوں نے کہا کہ ہم (ان) سب کے منکر ہیں،,1,3,2,4
اور جن لوگوں کو علم اور ایمان دیا گیا وه جواب دیں گے کہ تم تو جیسا کہ کتاب اللہ میں ہے یوم قیامت تک ٹھہرے رہے۔ آج کا یہ دن قیامت ہی کا دن ہے لیکن تم تو یقین ہی نہیں مانتے تھے,1,3,4,1
اور جب مسلمانوں سے ملیں تو کہیں ہم ایمان لائے اور جب آپس میں اکیلے ہوں تو کہیں وہ علم جو اللہ نے تم پر کھولا مسلمانوں سے بیان کیے دیتے ہو کہ اس سے تمہارے رب کے یہاں تمہیں پر حجت لائیں کیا تمہیں عقل نہیں -,1,4,1,1
میں نہيں مانتا ۔ تم کہا کرتی تھی نا کہ القاعدہ والے بکاؤ نہیں ہوتے,1,3,4,2
اسی طرح اللہ ان لوگوں کے دلوں پر مہر لگا دیتا ہے جو جانتے نہیں۔,1,1,1,1
پشاور میں، سرو مین کائینڈ نامی غیر سرکاری ادارے کے افراد نے لکھا:,1,2,3,3
کیا وہ لوگ جنہوں نے برائیاں کما رکھی ہیں یہ گمان کرتے ہیں کہ ہم انہیں اُن لوگوں کی مانند کر دیں گے جو ایمان لائے اور نیک اعمال کرتے رہے (کہ) اُن کی زندگی اور ان کی موت برابر ہو جائے۔ جو دعوٰی (یہ کفّار) کر رہے ہیں نہایت برا ہے،,1,4,1,1
"کہنے لگا ""اے موسیٰؑ، کیا تو ہمارے پاس اس لیے آیا ہے کہ اپنے جادو کے زور سے ہم کو ہمارے ملک سے نکال باہر کرے؟",3,3,1,1
- And in this village...,1,1,3,3
آپ کا کہنا ہے کہ یہ سب عراق میں ہوا؟,1,1,4,1
اور تم تین گروہ ہوجاؤ گے,2,3,3,1
