input,index,label,token
"['اس', 'بارے', 'میں', 'سابق', 'سیشن', 'جج', 'چودھری', 'غلام', 'حسین', 'نے', 'بتایا', 'اسلام', 'اور', 'ملک', 'میں', 'رائج', 'قوانین', 'کے', 'تحت', 'کوئی', 'خاتون', 'جو', 'بلوغت', 'کو', 'پہنچ', 'چکی', 'ہو', 'اسے', 'اپنی', 'مرضی', 'سے', 'نکاح', 'کرنے', 'کی', 'اجازت', 'دی', 'گئی', 'ہے۔']",22,3,بلوغت
"['سان', 'فرانسسکو', 'فیس', 'بک', 'میسنجر', 'میں', 'کال', 'کے', 'دوران', 'اب', 'ا', 'پ', 'دوستوں', 'کو', 'اسٹار', 'وار', 'پس', 'منظر', 'کے', 'ا', 'گمینٹڈ', 'ریئلٹی', 'کے', 'بصری', 'اثرات', 'اور', 'اسٹیکر', 'بھی', 'دکھاسکتے', 'ہیں', '۔']",24,3,اثرات
"['پیرس', 'میں', 'ملاقات', 'کے', 'دوران', 'فرانس', 'کے', 'صدر', 'فرانسوا', 'اولاند', 'اور', 'جرمن', 'چانسلر', 'اینگلا', 'میرکل', 'نے', 'یورپی', 'سرحدوں', 'پر', 'کنٹرول', 'سے', 'متعلق', 'بھی', 'تبادلہ', 'خیال', 'کیا', '۔']",17,3,سرحدوں
"['انڈیانا', 'کئی', 'بار', 'ایسا', 'ہوتا', 'ہے', 'کہ', 'ہمیں', 'اپنے', 'اسمارٹ', 'فون', 'سے', 'اپنی', 'پسندیدہ', 'ایپ', 'صرف', 'اس', 'لیے', 'ڈیلیٹ', 'کرنا', 'پڑتی', 'ہے', 'کیونکہ', 'فون', 'میں', 'اسٹوریج', 'ختم', 'ہونے', 'لگتی', 'ہے', 'اور', 'وہ', 'بار', 'بار', 'ہمیں', 'ڈیٹا', 'ڈیلیٹ', 'کیجیے', 'کا', 'پیغام', 'دینے', 'لگتا', 'ہے', '۔']",25,3,اسٹوریج
"['میں', 'نے', 'یہ', 'بھی', 'دیکھا', 'ہے', 'کہ', 'بعض', 'اوقات', 'یہ', 'سرٹیفیکیٹ', 'حاصل', 'کرنے', 'میں', 'سائل', 'کو', 'ایک', 'سال', 'کا', 'عرصہ', 'لگا', 'نادرا', 'ترجمان', 'نے', 'بتایا', 'کہ', 'وہ', 'بچے', 'جن', 'کے', 'نہ', 'تو', 'والدین', 'ہیں', 'اور', 'نہ', 'ہی', 'رشتہ', 'دار', 'جو', 'اس', 'کے', 'سرپرست', 'بن', 'سکیں', 'تو', 'اس', 'صورت', 'میں', 'یتیم', 'یا', 'لاوارث', 'بچوں', 'کو', 'یتیم', 'خانوں', 'کی', 'وساطت', 'سے', 'ب', 'فارم', 'کا', 'اجرا', 'کیا', 'جاتا', 'ہے', '۔']",55,3,خانوں
"['انہوں', 'نے', 'کہا', 'کہ', 'وزیراعظم', 'کو', 'گرانی', 'پر', 'نیند', 'نہیں', 'آتی', 'تو', 'ایگزیکٹو', 'آرڈر', 'سے', 'قیمتوں', 'میں', 'اضافہ', 'واپس', 'لے', 'لیں', 'تاکہ', 'عوام', 'کی', 'بددعاؤں', 'سے', 'بچ', 'جائیں', 'اور', 'چین', 'کی', 'نیند', 'سو', 'سکیں', 'مہنگائی', 'میں', 'عوام', 'کیلیے', 'سانس', 'لینا', 'مشکل', 'ہوگیاہے', 'حکومت', 'مافیاز', 'کے', 'ہاتھوں', 'یرغما', 'ل', 'ہے', 'مافیاز', 'ایک', 'دوسرے', 'کو', 'سپورٹ', 'کرتے', 'ہیں', 'اس', 'لیے', 'مافیاز', 'کے', 'ہاتھوں', 'مافیا', 'کا', 'احتساب', 'نہیں', 'ہو', 'سکتا', '۔']",24,3,بددعاؤں
"['علاوہ', 'ازیں', 'سوراب', 'نوشکی', 'اور', 'لکپاس', 'کے', 'مقام', 'پر', 'ایف', 'سی', 'اور', 'کسٹمز', 'نے', 'ایل', 'پی', 'جی', 'گیس', 'باوزر', 'اور', 'ٹرکوں', 'سے', 'تقریبا', '50', 'ہزار', 'کلو', 'گرام', 'چھالیہ', 'برا', 'مد', 'کرلی', '۔']",18,3,باوزر
"['یہ', 'خردبینی', 'ساخت', 'تھی', 'جو', '60', 'ارب', 'چکر', 'فی', 'منٹ', 'کی', 'رفتار', 'سے', 'گھوم', 'سکتی', 'تھی', 'لیکن', 'اب', 'اسی', 'جامعہ', 'نے', 'ڈمب', 'پیل', 'جیسی', 'ایک', 'خردبینی', 'ساخت', 'بنائی', 'ہے', 'جو', '300', 'ارب', 'چکر', 'فی', 'منٹ', 'کی', 'رفتار', 'سے', 'گھوم', 'سکتی', 'ہے', '۔']",1,3,خردبینی
"['زمبابوے', 'کے', 'خلاف', 'مجوزہ', 'ٹیم', 'انتظامیہ', 'میں', 'مصباح', 'الحق', 'ہیڈکوچ', 'منصور', 'رانا', 'ٹیم', 'مینجر', 'وقاریونس', 'بولنگ', 'کوچ', 'عبدالمجید', 'فیلڈنگ', 'کوچ', 'کلف', 'ڈیکن', 'فزیو', 'تھراپسٹ', 'اسٹرینتھ', 'اینڈ', 'کنڈیشنگ', 'کوچ', 'یاسر', 'ملک', 'شاہد', 'اسلم', 'معاون', 'ٹوہیڈکوچ', 'مصباح', 'الحق', 'کرنل', 'ریٹائرڈ', 'عثمان', 'انوری', 'سکیورٹی', 'مینجر', 'رضا', 'راشد', 'میڈہا', 'مینجر', 'شامل', 'ہیں', 'ملنگ', 'علی', 'مساجر', 'ہوں', 'گے', '۔']",37,3,ریٹائرڈ
"['اشرافیہ', 'نے', 'نہ', 'صرف', 'قوم', 'کی', 'دولت', 'کو', 'لوٹا', 'بلکہ', 'ان', 'کے', 'ٹیکس', 'کی', 'رقم', 'بھی', 'لوٹی', 'این', 'آر', 'او', 'کی', 'وجہ', 'سے', 'لوٹی', 'رقم', 'ضائع', 'ہوگئی', 'کرپشن', 'کے', 'یہ', 'تمام', 'انکشافات', 'ابھی', 'تو', 'صرف', 'آغاز', 'ہیں', 'ہم', 'براڈ', 'شیٹ', 'کے', 'معاملے', 'میں', 'مکمل', 'شفاف', 'تحقیقات', 'چاہتے', 'ہیں', 'اور', 'یہ', 'جاننا', 'چاہتے', 'ہیں', 'براڈ', 'شیٹ', 'کو', 'مزید', 'تحقیقات', 'سے', 'کس', 'نے', 'روکا', '۔']",6,3,دولت
"['انہوں', 'نے', 'گورنمنٹ', 'کالج', 'لاہور', 'سے', 'انگریزی', 'زبان', 'و', 'ادب', 'میں', 'گریجویشن', 'کی', 'اور', 'بعد', 'میں', 'اداکاری', 'کے', 'شوق', 'میں', 'گھر', 'سے', 'نکل', 'پڑے', '۔']",9,3,ادب
"['جاتی', 'امرا', 'میں', 'مولانا', 'فضل', 'الرحمان', 'کی', 'زیر', 'صدارت', 'پی', 'ڈی', 'ایم', 'کا', 'سربراہی', 'اجلاس', 'ہوا', 'جس', 'میں', 'محمود', 'خان', 'اچکزئی', 'امیرحیدر', 'خان', 'ہوتی', 'میاں', 'افتخار', 'حسین', 'سردار', 'اختر', 'جان', 'مینگل', 'آفتاب', 'احمد', 'خان', 'شیرپاؤ', 'اویس', 'احمد', 'نورانی', 'سمیت', 'دیگر', 'رہنماؤں', 'نے', 'شرکت', 'کی', 'جب', 'کہ', 'نواز', 'شریف', 'آصف', 'زرداری', 'اور', 'چیئرمین', 'پی', 'پی', 'پی', 'بلاول', 'بھٹو', 'زرداری', 'بذریعہ', 'ویڈیو', 'لنک', 'اجلاس', 'میں', 'شریک', 'ہوئے', '۔']",29,3,جان
"['عالمی', 'مجلس', 'تحفظ', 'ختم', 'نبوت', 'کے', 'زیر', 'اہتمام', 'مرکز', 'ختم', 'نبوت', 'مسلم', 'کالونی', 'چناب', 'نگر', 'میں', 'ہونے', 'والی', '39', 'ویں', 'سالانہ', 'ختم', 'نبوت', 'کانفرنس', 'تاجدار', 'ختم', 'نبوت', 'زندہ', 'باد', 'اور', 'پاکستان', 'پائندہ', 'باد', 'کے', 'نعروں', 'کی', 'گونج', 'میں', 'اختتام', 'پذیر', 'مقررین', 'نے', 'کہا', 'کہ', 'کلیدی', 'عہدوں', 'پر', 'براجمان', 'بعض', 'لوگ', 'ملکی', 'سلامتی', 'اور', 'استحکام', 'کیلیے', 'شدید', 'خطرہ', 'ان', 'کو', 'ہٹائے', 'بغیر', 'ہمارے', 'ایٹمی', 'اثاثہ', 'جات', 'محفوظ', 'نہیں', 'ہو', 'سکتے', '۔']",24,3,تاجدار
"['کھجو', 'راہو', 'کے', 'مندر', 'جاذب', 'نظر', 'ہیں', 'فن', 'تراشی', 'کے', 'لئے', 'جو', 'حقیقت', 'کے', 'غماز', 'ہیں۔']",4,3,جاذب
"['سٹاک', 'ایکسچینج', 'میں', 'بہتری', 'ا', 'رہی', 'ہے', 'مارچ', '2020ء', 'میں', 'کورونا', 'کی', 'وباء', 'کی', 'وجہ', 'سے', '27', 'ہزار', '500پوائنٹس', 'والی', 'سٹاک', 'ایکسچینج', 'اب', '45', 'ہزار', 'پوائنٹس', 'کے', 'قریب', 'ہے', 'ایک', 'سال', 'میں', 'اس', 'میں', '60', 'فیصد', 'بہتری', 'ا', 'ئی', 'جو', 'خوش', 'ا', 'ئند', 'ہے', 'یہ', 'اندازہ', 'لگایا', 'جارہا', 'ہے', 'کہ', 'فروری', 'مارچ', 'میں', 'اس', 'میں', 'مزید', 'بہتری', 'ا', 'ئے', 'گی', '۔']",42,3,ئند
"['اس', 'ڈرامائی', 'موڑ', 'پر', 'پارلیمنٹ', 'کے', 'باہر', 'تقریر', 'میں', 'وٹلہم', 'نے', 'کہا', 'کہ', 'خدا', 'ملکہ', 'برطانیہ', 'کی', 'حفاظت', 'کرے', 'کیونکہ', 'گورنر', 'جنرل', 'کو', 'تو', 'اب', 'کوئی', 'نہیں', 'بچا', 'سکتا', 'وہ', 'اپنی', 'ساری', 'زندگی', 'اپنے', 'خلاف', 'ہونیوالی', 'سازش', 'پر', 'ا', 'واز', 'بلند', 'کرتے', 'رہے', '۔']",27,3,بچا
"['اس', 'سرنگ', 'کا', 'مقصد', 'انگریز', 'حکومت', 'کی', 'فوج', 'کو', 'یہ', 'سہولت', 'فراہم', 'کرنا', 'تھی', 'کہ', 'انھیں', 'بازار', 'سے', 'نہیں', 'گزرنا', 'پڑتا', 'تھا', 'اور', 'گھوڑا', 'ڈھاکہ', 'موجودہ', 'ایوبیہ', 'اور', 'ڈونگہ', 'گلی', 'یعنی', 'مری', 'کے', 'درمیان', 'سفر', 'کم', 'ہو', 'گیا', 'تھا', '۔']",23,3,گھوڑا
"['ضیا', 'اللہ', 'آفریدی', 'پر', 'الزام', 'ہے', 'کہ', 'انھوں', 'نے', 'معدنیات', 'کے', 'ٹھیکوں', 'میں', 'بڑے', 'پیمانے', 'پر', 'خورد', 'برد', 'کی', 'اور', 'محکمے', 'میں', 'تعیناتیوں', 'پر', 'بے', 'قاعدگیاں', 'برتیں', '۔']",26,3,برتیں
"['پھر', 'بالآخر', 'اسی', 'سال', 'فروری', 'میں', 'ذوالفقار', 'علی', 'بھٹو', 'کو', 'انھی', 'کی', 'پارٹی', 'کے', 'ایک', 'ایم', 'این', 'اے', 'کے', 'والد', 'کے', 'قتل', 'کی', 'سازش', 'کے', 'الزام', 'میں', 'ایک', 'مقدمہ', 'میں', 'نامزد', 'کر', 'دیا', 'گیا', '۔']",2,7,اسی
"['اس', 'سے', 'قبل', 'وہ', '2015ء', 'سے', 'شعبہ', 'طبیعیات', 'کی', 'معاون', 'سربراہ', 'بھی', 'ہیں', '۔']",4,7,2015ء
"['برطانوی', 'وزیراعظم', 'بورس', 'جانسن', 'نے', 'گزشتہ', 'روز', 'تجارتی', 'مذاکرات', 'کے', 'لیے', '15اکتوبر', 'کی', 'تاریخ', 'مقرر', 'کرتے', 'ہوئے', 'کہا', 'کہ', 'اگر', 'یورپی', 'یونین', 'رواں', 'سال', 'کے', 'اختتام', 'تک', 'تجارتی', 'مزاکرات', 'کو', 'طول', 'دینے', 'سے', 'متعلق', 'غور', 'کر', 'رہا', 'ہے', 'تو', 'اس', 'معاملے', 'کو', 'طول', 'دینے', 'کی', 'کوئی', 'وجہ', 'نہیں', 'ہے', 'اور', '15اکتوبر', 'کے', 'بعد', 'انھیں', 'نہیں', 'لگتا', 'کہ', 'برطانیہ', 'اور', 'یورپی', 'یونین', 'کے', 'درمیان', 'ا', 'زاد', 'تجارتی', 'معاہدہ', 'ہو', 'گا', '۔']",11,7,15اکتوبر
"['محرم', 'الحرام', 'کے', 'مہینے', 'کا', 'ا', 'غاز', 'ہوتے', 'ہی', 'پورے', 'عالم', 'اسلام', 'میں', 'سوگ', 'کی', 'کیفیت', 'طاری', 'ہو', 'جاتی', 'ہے', 'اورشوبز', 'کی', 'سرگرمیاں', 'بھی', 'ماند', 'پڑ', 'جاتی', 'ہیں', 'اور', 'دیگر', 'شعبہ', 'ہائے', 'زندگی', 'سے', 'تعلق', 'رکھنے', 'والی', 'خواتین', 'کی', 'طرح', 'شوبز', 'سے', 'وابستہ', 'خواتین', 'بھی', 'امام', 'حسین', 'کی', 'یاد', 'میں', 'مجالس', 'کے', 'انعقاد', 'کے', 'ساتھ', 'محافل', 'اورنیاز', 'کی', 'تقسیم', 'کا', 'اہتمام', 'کرتی', 'ہیں', '۔']",1,7,الحرام
"['کراچی', 'پاکستان', 'کی', 'معروف', 'ڈرامہ', 'نگار', 'حسینہ', 'معین', 'کا', 'شہرہ', 'آفاق', 'ڈرامہ', 'ان', 'کہی', 'کراچی', 'آرٹس', 'کونسل', 'میں', 'تھیٹر', 'کی', 'صورت', '20اکتوبر', 'سے', 'پیش', 'کیا', 'جائے', 'گا', '۔']",21,7,20اکتوبر
"['کہتے', 'ہیں', 'کہ', 'انہوں', 'نے', 'روسی', 'زوال', 'چرنوبل', 'ایٹمی', 'حادثے', '2004', 'میں', 'انڈونیشیائی', 'سونامی', '11', 'ستمبر', 'کے', 'ورلڈ', 'ٹریڈ', 'ٹاور', 'حملوں', 'کی', 'پیش', 'گوئی', 'کی', 'تھی', 'تاہم', 'ان', 'کی', 'بعض', 'پیش', 'گوئیاں', 'غلط', 'بھی', 'ثابت', 'ہوئی', 'ہیں', '۔']",10,7,2004
"['29', 'اکتوبر', 'کو', '7', 'ہزار', '310', 'فٹ', 'بلندی', 'پر', 'اسکردو', 'میں', 'شیڈول', 'انٹرڈسٹرکٹ', 'چیمپئن', 'شپ', 'کے', 'افتتاحی', 'میچ', 'کے', 'ساتھ', 'ہی', 'پاکستان', 'امریکا', 'سے', 'بلند', 'ترین', 'بیس', 'بال', 'گراونڈ', 'رکھنے', 'کا', 'اعزاز', 'چھین', 'لے', 'گا', '۔']",0,7,29
"['یہ', 'ذکر', 'ہے', '1540', 'کا', 'جب', 'ہمایوں', 'نے', 'شیر', 'شاہ', 'سوری', 'کے', 'ہاتھوں', 'شکست', 'کھانے', 'کے', 'بعد', 'راہ', 'فرار', 'اختیار', 'کی', '۔']",3,7,1540
"['تمام', 'ادارے', 'ضوابط', 'ترتیب', 'دیں', 'گے', 'اور', 'ان', 'پر', 'عمل', 'درآمد', 'کرایاجائے', 'گا', 'وزارت', 'انصاف', 'اور', 'اسلامی', 'امور', 'کے', 'حوالے', 'سے', 'بتایا', 'تھاکہ', 'پہلے', 'مرحلے', 'میں', 'تمام', 'احتیاطی', 'تدابیر', 'کے', 'ساتھ', 'مساجد', 'جمعہ', '28', 'اگست', 'سے', 'نماز', 'فجر', 'کے', 'لیے', 'کھولی', 'جائیں', 'گی', 'بیان', 'میں', 'کہا', 'گیا', 'کہ', 'نماز', 'جمعہ', 'مساجد', 'میں', 'بدستور', 'معطل', 'رہے', 'گی', 'سوائے', 'مسجد', 'احمد', 'الفتح', 'جہاں', 'محدود', 'تعداد', 'میں', 'لوگ', 'نماز', 'جمعہ', 'ادا', 'کرسکیں', 'گے', '۔']",34,7,اگست
"['مالی', 'سال', '21ء', 'کی', 'پہلی', 'سہ', 'ماہی', 'کے', 'دوران', 'سب', 'سے', 'خوش', 'آئند', 'اضافہ', 'انٹرنیٹ', 'بینکنگ', 'اور', 'موبائل', 'بینکنگ', 'ٹرانزیکشنز', 'میں', 'دیکھا', 'گیا', 'کیونکہ', 'رجسٹرڈ', 'فون', 'بینکنگ', 'استعمال', 'کنندگان', 'کی', 'تعداد', '8', '9', 'ملین', 'تک', 'پہنچ', 'گئی', 'جس', 'سے', 'مالی', 'سال', '20ء', 'کی', 'پہلی', 'سہ', 'ماہی', 'کے', 'مقابلے', 'میں', '41', 'فیصد', 'اضافہ', 'ظاہر', 'ہوتا', 'ہے', 'اور', 'انٹرنیٹ', 'استعمال', 'کنندگان', 'کی', 'تعداد', '4', '3', 'ملین', 'تک', 'پہنچ', 'گئی', 'جو', 'اسی', 'مدت', 'کے', 'مقابلے', 'میں', '26', 'فیصد', 'اضافے', 'کو', 'ظاہر', 'کرتی', 'ہے', '۔']",2,7,21ء
"['سنجے', 'دت', 'نے', 'اپنے', 'مداحوں', 'سے', 'مخاطب', 'ہوتے', 'ہوئے', 'کہا', 'یہ', 'سب', 'ا', 'پ', 'کے', 'غیر', 'متزلزل', 'یقین', 'اور', 'تعاون', 'کے', 'بغیر', 'ممکن', 'نہیں', 'تھا', '۔']",0,7,سنجے
"['واضح', 'رہے', 'کہ', '5', 'سال', 'کی', 'مروہ', '5', 'ستمبر', 'کر', 'اپنے', 'گھر', 'سے', 'چیز', 'لینے', 'گئی', 'اور', 'لاپتہ', 'ہوگئی', 'تھی', 'جس', 'کے', 'بعد', '6', 'ستمبر', 'کو', 'اس', 'کی', 'لاش', 'پرانی', 'سبزی', 'منڈی', 'کے', 'علاقے', 'سے', 'ملی', 'تھی', '۔']",23,7,6
"['اسٹیٹ', 'بینک', 'نے', 'اپنے', 'جائزے', 'میں', 'کہا', 'ہے', 'کہ', 'پاکستان', 'میں', 'پنشن', 'اور', 'بعد', 'از', 'ریٹائرمنٹ', 'فوائد', 'کے', 'حصول', 'کے', 'لیے', 'سرکاری', 'ملازمین', 'میں', 'قبل', 'از', 'وقت', 'ریٹائرمنٹ', 'کا', 'رجحان', 'زور', 'پکڑ', 'رہا', 'ہے', 'سال', '2019ء', 'میں', 'ریٹائرمنٹ', 'لینے', 'والے', '60', 'فیصد', 'سرکاری', 'ملازمین', 'نے', 'قبل', 'از', 'وقت', 'ریٹائرمنٹ', 'حاصل', 'کرلی', '۔']",35,7,2019ء
"['من', 'پسند', 'کمپنیوں', 'کو', 'ٹھیکہ', 'دلانے', 'کے', 'لیے', 'مراد', 'علی', 'شاہ', 'نے', 'بطور', 'وزیر', 'خزانہ', 'سال', '2014', '15', 'میں', 'خصوصی', 'نوٹ', 'لکھا', 'تھا', '۔']",17,7,15
"['یوایس', 'کی', 'طرف', 'سے', 'لگائی', 'گئی', 'ڈیوائسزکا', 'ڈیٹا', 'ہر', 'ایک', 'گھنٹے', 'بعد', 'اپ', 'ڈیٹ', 'کیاجاتا', 'ہے', '۔']",0,7,یوایس
