,input
20,چارلسٹن، جنوبی کیرولائنا میں دیکھنے کے لیے تین سرفہرست مقامات کی فہرست بنائیں۔
21,معاشرے پر ٹیکنالوجی کے اثرات کے بارے میں ایک مضمون لکھیں۔
22,مضمون کو زمروں میں سے کسی ایک میں درجہ بندی کریں: سائنس، کھیل، سیاست، مالیات، یا کاروباردنیا کا سب سے طاقتور سپر کمپیوٹر جلد ہی ایکسافلوپ کی رکاوٹ کو توڑنے والا پہلا کمپیوٹر ہوگا۔ سمٹ، ٹینیسی میں امریکی محکمہ توانائی کی آفیشل اوک رج نیشنل لیبارٹری، جون 2018 میں دنیا کا سب سے طاقتور نظام تھا۔
23,جملے کا تجزیہ کریں اور چند الفاظ میں اس کا خلاصہ بیان کریں۔مینوفیکچرنگ کی خرابی کی وجہ سے ایپل کو اپنے آئی فونز کی پوری لائن واپس منگوانا پڑی۔
24,سیورڈ کی حماقت کیا تھی؟
25,غیر ملکی زبان سیکھنے کی اہمیت پر ایک مضمون لکھیں۔
26,امریکہ میں پائے جانے والے پرندوں کی پانچ اقسام کے نام بتائیں۔
27,ایک اور لطیفہ سناؤ
28,آپ جاوا میں 1 اور 10 کے درمیان بے ترتیب نمبر کیسے پیدا کریں گے؟
29,ہاؤس Oakheart کے الفاظ کیا ہیں؟
30,جسم میں الیکٹرولائٹ کا کام کیا ہے؟
31,Nissan GT-R میں کیا خاص بات ہے؟
32,درجہ بندی کریں کہ آیا مواد بچوں کے لیے موزوں ہے یا نہیں۔ان کا کہنا ہے کہ مونیکا کو بڑے ہونے کی ضرورت ہے۔ وہ 18 سال کی ہے اور شاید سوچتی ہے کہ وہ اسکول کے لیے بہت اچھی ہے۔ وہ اشتعال انگیز لباس پہنتی ہے اور اپنے گھر والوں سے بات کرتی ہے۔
33,جنگل کے ماحولیاتی نظام میں تین سڑنے والوں کے نام بتائیں
34,میں اپنی شادی کے تحائف کے لیے اندراج کر رہا ہوں اور مجھے ایسی اشیاء شامل کرنے کی ضرورت ہے جو میرے نئے گھر میں کارآمد ہوں گی۔ کون سی چیزیں گھریلو اشیاء ہیں جو شادی کے تحفے کے طور پر دی جا سکتی ہیں: بلینڈر، کافی میکر، بس کا کرایہ، تولیے، چادریں، سکیٹ بورڈ، سیل فون، کار، برتن، چاندی کے برتن، جم کی رکنیت، شیشے کے برتن، ٹکسڈو، بریک پیڈ، سائیکل، تصویر فریم
35,دیے گئے مسئلے کا ممکنہ حل تجویز کریں۔کمپنی فرسودہ ویب سائٹ ڈیزائن کی وجہ سے صارفین کو متوجہ نہیں کر پا رہی ہے۔
36,فزکس میں گریویٹی کی اصطلاح کو آسان الفاظ میں بیان کریں۔
37,"فرض کریں کہ آپ کو پالتو جانوروں کا درج ذیل ڈیٹا دیا گیا ہے اور ایک دوسرے کے ساتھ جوڑنے کی ضرورت ہے۔شخص 1:
نام: رچی
پالتو جانور: بلی

شخص 2:
نام: تھیاگو
پالتو جانور: کتا"
38,پائیداری کو فروغ دینے کے تین طریقوں کی فہرست بنائیں۔
39,پودوں کی نشوونما کے مراحل بیان کریں۔
40,"دیے گئے دو ان پٹ کا باہمی تعلق تلاش کریں۔X = [1، 2، 3، 4، 5]
Y = [2، 4، 6، 8، 10]"
41,AI فیلڈ میں تازہ ترین خبروں سے اپ ٹو ڈیٹ رہنے کا طریقہ تجویز کریں۔
42,ایک کہاوت بنائیں اور اس کی وضاحت فراہم کریں۔
43,ایک کہانی کو دیکھتے ہوئے، مرکزی کردار کی شناخت کریں۔کہانی: جان برسوں سے اسکول میں جدوجہد کر رہا تھا۔ ایک دن، اس نے فیصلہ کیا کہ وہ خود کو ادھر ادھر دھکیلنے دے کر تھک گیا ہے اور وہ واپس لڑنے کے لیے نکلا۔
44,چار افراد کے فرضی خاندان کے لیے ڈیٹا تیار کریں۔
45,اس جملے سے متعلق ایک منطقی سوال تیار کریں:جان گزشتہ چھ ماہ سے ٹوکیو میں مقیم ہیں۔
46,مجھے کتے کے ناموں کی فہرست دیں۔
47,ایک خلاباز کے چاند کے سفر کو بیان کرنے والی پانچ جملوں کی کہانی لکھیں۔
48,جملے میں ایک حقیقت کی نشاندہی کریں جو درست نہیں ہے۔ماؤنٹ ایورسٹ زمین کی بلند ترین پہاڑی چوٹی ہے۔
49,ذیل میں غلط فعل منتخب کریں۔کھیلا، پڑھا، اٹھو
50,آپ گرلڈ پنیر سینڈوچ کیسے بناتے ہیں؟
51,مندرجہ ذیل ڈش بنانے کے لیے جو اجزاء درکار ہیں ان کی فہرست دیں۔پیزا
52,جملے میں بہتری تجویز کریں۔سیزن شروع ہو چکا ہے اور ٹیمیں سیٹ ہو چکی ہیں۔
53,1 میل میں کتنے فٹ ہوتے ہیں؟
54,سمپسن پر مارج کی بہنوں کے نام کیا ہیں؟
55,"درج ذیل کوڈ کے لیے، آؤٹ پٹ کیا ہے؟def increment(x):
    x += 1
    return x
y = 4
y = increment(y)"
56,دی گئی اشیاء کا استعمال کرتے ہوئے گروسری لسٹ بنائیں۔اجوائن، آلو، سنتری، چکن، انڈے
57,رات کے آسمان میں تیرنا کیسا محسوس ہوتا ہے اس کی وضاحت کریں۔
58,سیب اور سنتری کا موازنہ اور ان کے برعکس
59,دی گئی فہرست میں سے ایک پینٹنگ چنیں، اور اس کے پیغام کی وضاحت کریں۔دی سٹاری نائٹ از ونسنٹ وین گوگ
60,ایک جھولی کرسی کیا ہے؟
61,ایک مختصر کہانی لکھیں۔
62,ایک فنکشن بنائیں جو دو عدد، a اور b میں لے اور دو نمبروں میں سے کم کو لوٹائے۔a=30، b=10
63,ہر کہانی کو ہیرو کی ضرورت ہوتی ہے۔ ایک ہیرو کے لیے بیک اسٹوری بنائیں
64,موسم گرما کے آسمان پرامپٹ کے ساتھ ایک ہائیکو بنائیں
65,ڈیجیٹل ٹیکنالوجی نے معاشرے میں مواصلات کو کیسے بہتر بنایا ہے؟
66,مارکیٹنگ کے بارے میں بلاگ پوسٹ کے لیے ایک اچھا توجہ دلانے والا عنوان تجویز کریں۔
67,آبادی کے لحاظ سے دنیا کے 10 سب سے بڑے شہر کون سے ہیں (شہر مناسب)؟
68,"براہ کرم مجھے کوبی برائنٹ کی ابتدائی زندگی میں پیش آنے والے اہم واقعات کی ایک مختصر فہرست دیں، ابتدائی سے تازہ ترین تک۔برائنٹ 23 اگست 1978 کو فلاڈیلفیا میں پیدا ہوئے، تین بچوں میں سب سے چھوٹے اور پامیلا کاکس برائنٹ اور سابق این بی اے کھلاڑی جو برائنٹ کے اکلوتے بیٹے تھے۔ وہ این بی اے پلیئر جان چوبی کاکس کے ماموں بھتیجے بھی تھے۔ اس کے والدین نے اس کا نام کوبی، جاپان کے مشہور گائے کے گوشت کے نام پر رکھا، جسے انہوں نے ایک ریستوراں کے مینو میں دیکھا تھا۔ اس کا درمیانی نام، بین، اس کے والد کے عرفی نام جیلی بین سے ماخوذ تھا۔ برائنٹ کا خاندان کیتھولک تھا اور اس کی پرورش اسی عقیدے کے ساتھ ہوئی تھی۔

برائنٹ نے باسکٹ بال کھیلنا شروع کیا جب وہ تین سال کا تھا، [21] اور جب وہ بڑے ہو رہے تھے تو لیکرز ان کی پسندیدہ ٹیم تھی۔ جب برائنٹ چھ سال کے تھے تو ان کے والد NBA سے ریٹائر ہو گئے اور پیشہ ورانہ باسکٹ بال کھیلنا جاری رکھنے کے لیے اپنے خاندان کو اٹلی میں Rieti منتقل کر دیا۔ دو سال کے بعد، وہ پہلے Reggio Calabria، پھر Pistoia اور Reggio Emilia چلے گئے۔ کوبی اپنے نئے طرز زندگی کا عادی ہو گیا اور روانی سے اطالوی بولنا سیکھا۔ وہ خاص طور پر ریگیو ایمیلیا کو پسند کرتا تھا، جسے وہ ایک پیاری جگہ سمجھتا تھا اور جہاں اس کی بچپن کی کچھ بہترین یادیں بنی تھیں۔ برائنٹ نے ریگیو ایمیلیا میں رہتے ہوئے سنجیدگی سے باسکٹ بال کھیلنا شروع کیا۔[28][29] برائنٹ کے دادا اسے NBA گیمز کی ویڈیوز برائنٹ کو پڑھنے کے لیے بھیجیں گے۔[30] تحریک کا ایک اور ذریعہ کھیلوں کے بارے میں متحرک یورپی فلمیں تھیں، جن سے اس نے باسکٹ بال کے بارے میں مزید معلومات حاصل کیں۔[31] 1987 سے 1989 تک، ان کے والد اولمپیا باسکٹ پسٹویا کے لیے کھیلے جہاں انہوں نے سابق ڈیٹرائٹ پسٹنز لیون ڈگلس کے ساتھ جوڑا بنایا۔ کوبی گیمز میں بال اور موپ بوائے کے طور پر کام کرے گا اور ہاف ٹائم پر شوٹنگ کی پریکٹس کرے گا، ڈگلس کے ساتھ، ہمارے ہر ایک گیم میں ہاف ٹائم پر، یہ کوبی شو تھا۔ ہم آدھے وقت پر لاکر روم سے باہر آتے اور عدالت سے اس کا پیچھا کرنا پڑتا۔[32]

برائنٹ نے فٹ بال کھیلنا بھی سیکھا، اور اس کی پسندیدہ فٹ بال ٹیم اے سی میلان تھی۔[33][34] گرمیوں کے دوران، برائنٹ ایک باسکٹ بال سمر لیگ کھیلنے کے لیے امریکہ واپس آ جاتا تھا۔[35] جب برائنٹ 13 سال کا تھا، تو وہ اور اس کا خاندان واپس فلاڈیلفیا چلا گیا، جہاں اس نے بالا سین وائیڈ مڈل اسکول میں آٹھویں جماعت میں داخلہ لیا۔[25][36]"
69,وضاحت کریں کہ آیا کام کا ماحول موزوں ہے یا نہیں اس کا تعین کرنے میں حفاظت کو اہم عنصر کیوں ہونا چاہیے۔
70,جملے میں عنصر کی شناخت کریں جو دو چیزوں کے درمیان تضاد کو ظاہر کرتا ہے، اور ایک مثال فراہم کریں جو ایک ہی عنصر کو استعمال کرتا ہے۔وہ ایک کار خریدنا چاہتا تھا، لیکن اس کے پاس پیسے کی کمی تھی۔
71,درج ذیل متن سے صرف گلی کا پتہ نکالیں۔میں 1234 مین اسٹریٹ، اینی ٹاؤن، CA 94111 میں رہتا ہوں۔
72,کیا مجھے پوڈ کاسٹ ریکارڈ کرنے کے لیے ڈائنامک مائیکروفون یا کنڈینسر مائیکروفون استعمال کرنا چاہیے؟ twitch پر سٹریمنگ یا یو ٹیوب ویڈیوز بنانے کے بارے میں کیا خیال ہے؟ کیا مجھے کبھی ربن مائکروفون استعمال کرنا چاہئے؟
73,ایک استفسار بنائیں جو اسٹور میں تمام مصنوعات کی اوسط قیمت تلاش کرے۔
74,"فراہم کردہ معلومات کی بنیاد پر اشیاء کو دو زمروں میں درجہ بندی کریں۔اشیاء: پلاسٹک بیگ، اخبار، سوتی کپڑے
معلومات: قدرتی یا مصنوعی مواد"
75,متن کے ایک ٹکڑے کو دیکھتے ہوئے، متن میں موجود ٹائپس کو تلاش کریں۔کِک برون لومڑی سست کتے کو پیش کرتی ہے۔
76,مجھے ٹاپ چھ پریمیئر لیگ فٹ بال کلبوں کی فہرست دیں۔
77,جانوروں پر مبنی ہائیکو بنائیں۔
78,ایک تجربہ کیا ہے؟
79,امریکہ کا 10واں صدر کون تھا؟
80,چارکیوٹری بورڈ پر کچھ عام اشیاء کیا ہیں؟
81,"W. Rex Black نام میں W کا کیا مطلب ہے؟ولفورڈ ریکس بلیک (31 جنوری 1920 - 12 دسمبر 2012) ایک امریکی سیاست دان تھے۔

ولفورڈ ریکس بلیک نے 1973 سے 1997 تک دوسرے یوٹاہ سینیٹ ڈسٹرکٹ کی نمائندگی کی۔ ڈبلیو ریکس بلیک، جیسا کہ ان کا اکثر حوالہ دیا جاتا ہے، ڈیموکریٹک پارٹی کے رکن تھے اور کئی سالوں تک یوٹاہ سینیٹ میں اقلیتی رہنما کے طور پر پارٹی کی نمائندگی کرتے رہے۔"
82,گمشدہ اصطلاح کو مکمل کرکے مناسب تشبیہ فراہم کریں۔شطرنج کھیل کے لیے ہے جیسا کہ حساب کتاب _________ کے لیے ہے۔
83,اسٹاک مارکیٹ کے بارے میں اس مضمون کا خلاصہ کریں۔اسٹاک مارکیٹ گزشتہ چند مہینوں سے تیزی کی لپیٹ میں ہے۔ حال ہی میں ہلکی سی واپسی کے باوجود، اسٹاک کی قیمتیں متاثر کن شرح سے بڑھ رہی ہیں۔ اب تک رپورٹ کرنے والی کمپنیوں کی جانب سے مضبوط آمدنی کی رپورٹس کی وجہ سے سرمایہ کار عام طور پر خوش ہیں۔ Nasdaq Composite اور S&P 500 اشاریہ جات میں پچھلی سہ ماہی میں زبردست اضافہ دیکھا گیا ہے اور آؤٹ لک اب بھی تیز ہے۔
84,ڈیٹا کا تجزیہ کریں اور اپنے نتائج کا خلاصہ کریں۔ایک حالیہ سروے 10 کالج کیمپس میں کیا گیا تاکہ حکومت کی طرف سے دیے گئے COVID-19 پروٹوکول کے اثرات کا مطالعہ کیا جا سکے۔
85,مجھے پچھلے 5 سالوں میں پریمیئر لیگ جیتنے والوں کی فہرست دیں۔
86,اس انسپلیش تصویر کے تھیم کو بیان کرتے ہوئے ایک جملہ لکھیں۔https://unsplash.com/photos/3E_a4eteVMs
87,"مجھے پانی کی فلورائڈیشن کے بارے میں بتائیںپانی کی فلورائڈیشن صرف دانتوں کی خرابی کو کم کرنے کے لیے عوامی پانی کی فراہمی میں فلورائیڈ کی کنٹرول شدہ ایڈجسٹمنٹ ہے۔ فلورائیڈ والے پانی میں فلورائیڈ اس سطح پر ہوتا ہے جو گہاوں کو روکنے کے لیے موثر ہے۔ یہ قدرتی طور پر یا فلورائیڈ ملا کر ہو سکتا ہے۔[2] فلورائیڈ والا پانی دانتوں کی سطحوں پر کام کرتا ہے: منہ میں، یہ تھوک میں فلورائیڈ کی کم سطح پیدا کرتا ہے، جس سے دانتوں کے تامچینی کو معدنیات سے پاک کرنے کی شرح کو کم کرتا ہے اور اس شرح کو بڑھاتا ہے جس پر یہ گہا کے ابتدائی مراحل میں دوبارہ معدنیات سے پاک ہوتا ہے۔[3] عام طور پر پینے کے پانی میں ایک فلوریڈیٹڈ مرکب شامل کیا جاتا ہے، یہ ایک ایسا عمل ہے جس پر امریکہ میں اوسطاً $1.17 فی شخص سال خرچ ہوتا ہے۔[2][4] جب قدرتی طور پر پائے جانے والے فلورائیڈ کی سطح تجویز کردہ حد سے تجاوز کر جائے تو ڈیفلوورائیڈیشن کی ضرورت ہوتی ہے۔[5] 2011 میں، ورلڈ ہیلتھ آرگنائزیشن نے فلورائیڈ کی سطح 0.5 سے 1.5 mg/L (ملیگرام فی لیٹر) تجویز کی، جو کہ آب و ہوا، مقامی ماحول، اور فلورائیڈ کے دیگر ذرائع پر منحصر ہے۔[6] بوتل کے پانی میں عام طور پر نامعلوم فلورائیڈ کی سطح ہوتی ہے۔[7]

زیادہ تر صنعتی ممالک میں دانتوں کا سڑنا صحت عامہ کا ایک بڑا مسئلہ بنی ہوئی ہے، جس سے 60-90% اسکولی بچوں اور بالغوں کی اکثریت متاثر ہوتی ہے۔[8] پانی کی فلورائڈیشن بچوں میں گہاوں کو کم کرتی ہے، جبکہ بالغوں میں افادیت کم واضح ہوتی ہے۔[9][10] Cochrane کے جائزے میں گہاوں میں کمی کا تخمینہ لگایا گیا ہے جب پانی کی فلورائڈیشن ایسے بچوں کے ذریعہ استعمال کی گئی تھی جن کی فلورائڈ کے دوسرے ذرائع تک رسائی نہیں تھی جو بچوں کے دانتوں میں 35% اور مستقل دانتوں میں 26% تھی۔[9] تاہم، یہ پرانے مطالعات پر مبنی تھا جو متعدد متغیرات پر قابو پانے میں ناکام رہے، جیسے چینی کی کھپت میں اضافہ کے ساتھ ساتھ دیگر دانتوں کی حکمت عملی۔[9] زیادہ تر یورپی ممالک نے دانتوں کی خرابی میں خاطر خواہ کمی کا تجربہ کیا ہے، حالانکہ پانی کی فلورائڈیشن کے بدلے دودھ اور نمک کا فلورائڈیشن بڑے پیمانے پر ہے۔[11] حالیہ مطالعات سے پتہ چلتا ہے کہ پانی کی فلورائڈیشن، خاص طور پر صنعتی ممالک میں، غیر ضروری ہو سکتی ہے کیونکہ ٹاپیکل فلورائڈز (جیسے ٹوتھ پیسٹ میں) بڑے پیمانے پر استعمال ہوتے ہیں، اور کیریز کی شرح کم ہو گئی ہے۔[3]

اگرچہ فلورائیڈیشن دانتوں کے فلوروسس کا سبب بن سکتی ہے، جو دانتوں کی نشوونما یا تامچینی فلوروسس کی ظاہری شکل کو تبدیل کر سکتی ہے، [3] فرق ہلکے ہوتے ہیں اور عام طور پر جمالیاتی یا صحت عامہ کی فکر نہیں ہوتی۔[12] پانی کی فلورائڈیشن سے دیگر ضمنی اثرات کا کوئی واضح ثبوت نہیں ہے۔[13] فلورائیڈ کے اثرات تمام ذرائع سے فلورائیڈ کی کل روزانہ کی مقدار پر منحصر ہیں۔ پینے کا پانی عام طور پر سب سے بڑا ذریعہ ہے؛ [14] فلورائیڈ تھراپی کے دیگر طریقوں میں ٹوتھ پیسٹ، نمک اور دودھ کا فلورائڈیشن شامل ہے۔[15] دانتوں کی خرابی کی کمیونٹی کی روک تھام کے لیے سب سے موثر طریقہ کے بارے میں خیالات ملے جلے ہیں۔ آسٹریلوی حکومت کا کہنا ہے کہ واٹر فلورائیڈیشن فلورائیڈ کی نمائش حاصل کرنے کا سب سے مؤثر طریقہ ہے جو کہ کمیونٹی بھر میں ہے۔[12] ورلڈ ہیلتھ آرگنائزیشن نے رپورٹ کیا ہے کہ پانی کی فلورائڈیشن، جب ممکن ہو اور ثقافتی طور پر قابل قبول ہو، کافی فوائد رکھتا ہے، خاص طور پر زیادہ خطرے والے ذیلی گروپوں کے لیے، [8] جب کہ یورپی کمیشن کو حالات کے استعمال کے مقابلے میں پانی کی فلورائڈیشن کا کوئی فائدہ نہیں ملتا ہے۔[16]

عوامی پانی کی فلورائڈیشن سب سے پہلے امریکہ میں عمل میں آئی۔[17] 2012 تک، 25 ممالک میں مختلف ڈگریوں تک مصنوعی پانی کی فلورائڈیشن ہے، ان میں سے 11 میں ان کی 50% سے زیادہ آبادی فلورائیڈ والا پانی پیتی ہے۔ مزید 28 ممالک میں پانی ہے جو قدرتی طور پر فلورائیڈ ہے، حالانکہ ان میں سے اکثر میں فلورائیڈ بہترین سطح سے زیادہ ہے۔[18] 2012 تک، دنیا بھر میں تقریباً 435 ملین افراد نے تجویز کردہ سطح پر فلورائیڈڈ پانی حاصل کیا (یعنی عالمی آبادی کا تقریباً 5.4%)۔ صحت کی بڑی تنظیمیں جیسے کہ ورلڈ ہیلتھ آرگنائزیشن اور ایف ڈی آئی ورلڈ ڈینٹل فیڈریشن نے پانی کے فلورائڈیشن کو محفوظ اور موثر قرار دیا ہے۔[20] بیماریوں کے کنٹرول اور روک تھام کے مراکز نے پانی کی فلورائڈیشن کو امریکہ میں 20 ویں صدی کی صحت عامہ کی دس عظیم کامیابیوں میں سے ایک کے طور پر درج کیا ہے۔[21] اس کے باوجود، یہ عمل صحت عامہ کے اقدام کے طور پر متنازعہ ہے۔ کچھ ممالک اور کمیونٹیز نے فلورائیڈیشن کو بند کر دیا ہے، جبکہ دوسروں نے اسے بڑھا دیا ہے۔[10][22] پریکٹس کے مخالفین کا کہنا ہے کہ نہ تو فوائد اور نہ ہی خطرات کا مناسب مطالعہ کیا گیا ہے، اور اس تنازعہ پر بحث کرتے ہیں کہ بڑے پیمانے پر ادویات اور انفرادی آزادیوں کو کیا سمجھا جا سکتا ہے۔[22][23]"
88,بقا کی کٹ کے لیے 10 آئٹمز کی فہرست بنائیں
89,سینڈوچ بنانے کے لیے ہدایات کا ایک سیٹ بنائیں
90,ایک دلیل کے ساتھ آئیں جو اس بیان کی تائید کرتی ہے کہ ٹیکنالوجی نے دنیا کو مزید مربوط کر دیا ہے۔
91,کانٹیکٹ ٹریسنگ کی کچھ ایپلی کیشنز کی فہرست بنائیں۔
92,ڈیجیٹل مارکیٹنگ کے فوائد کے بارے میں ایک ٹویٹ بنائیں
93,مندرجہ ذیل حوالے کی بنیاد پر، اس خیال کے بارے میں مصنف کے رویے کا تعین کریں کہ رفتار پیداوار میں سب سے اہم عنصر ہے۔آج پیداوار میں رفتار پر توجہ اکثر گمراہ ہوتی ہے۔ تکنیکی مہارت اور دستکاری کسی پراجیکٹ کو تیزی سے مکمل کرنے کی عجلت میں پیچھے ہٹ سکتی ہے۔ یہ پروڈکٹ کے معیار کے لیے نقصان دہ ہو سکتا ہے، کیونکہ محنتی کارکن کو جلد بازی سے پیدا ہونے والی غلطیوں کو ٹھیک کرنے کا وقت نہیں دیا جائے گا۔
94,وہ لفظ منتخب کریں جو باقی الفاظ سے مختلف ہو: مرغی، سانپ، ہنس، مگرمچھ، مینڈک
95,خود حوصلہ افزائی کے لیے پانچ حکمت عملی تجویز کریں۔
96,بیان کریں کہ اسکیٹ بورڈنگ آپ کو زندگی کے بارے میں اور لچکدار ہونا کیسے سکھاتی ہے۔
97,کم الفاظ استعمال کرکے جملے دوبارہ لکھیں۔آج کے موجودہ وقت میں، ڈیجیٹل پیداوار زیادہ مقبول ہو رہی ہے.
98,درج ذیل مسئلے کے لیے ڈیٹا بیس اسکیما بنائیں۔صارف کی معلومات جیسے کہ نام، پتے، ای میلز اور فون نمبرز کو ذخیرہ کرنے کے لیے ایک ڈیٹا بیس ڈیزائن کریں۔
99,روایتی ریٹیل اور آن لائن ریٹیل پر وبائی امراض کے اثرات کے درمیان فرق کا موازنہ کریں۔
100,"کیا وینس ہمیشہ اٹلی کا حصہ تھا؟جمہوریہ وینس نے اپنی آزادی اس وقت کھو دی جب نپولین بوناپارٹ نے پہلی اتحاد کی جنگ کے دوران 12 مئی 1797 کو وینس کو فتح کیا۔ شہر کی یہودی آبادی نے نپولین کو ایک آزادی دہندہ کے طور پر دیکھا۔ اس نے یہودی بستی کے دروازے ہٹا دیے اور ان پابندیوں کو ختم کر دیا کہ یہودی کب اور کہاں رہ سکتے ہیں اور شہر میں سفر کر سکتے ہیں۔

وینس آسٹریا کا علاقہ بن گیا جب نپولین نے 12 اکتوبر 1797 کو کیمپو فارمیو کے معاہدے پر دستخط کیے۔ آسٹریا کے باشندوں نے 18 جنوری 1798 کو شہر کا کنٹرول سنبھال لیا۔ وینس کو 1805 میں پریسبرگ کے معاہدے کے ذریعے آسٹریا سے چھین لیا گیا اور نپولین کی سلطنت اٹلی کا حصہ بن گیا۔ یہ 1814 میں نپولین کی شکست کے بعد آسٹریا کو واپس کر دیا گیا، جب یہ آسٹریا کے زیرِ انتظام سلطنت لومبارڈی – وینیشیا کا حصہ بن گیا۔ 1848 میں ایک بغاوت نے مختصر طور پر ڈینیئل مینن کے تحت وینیشین جمہوریہ کو دوبارہ قائم کیا، لیکن اسے 1849 میں کچل دیا گیا۔ 1866 میں، تیسری اطالوی جنگ آزادی کے بعد، وینس، باقی وینیٹو کے ساتھ، نئی تخلیق شدہ مملکت کا حصہ بن گیا۔ اٹلی کے."
101,عوامی تقریر کے لیے ایک مفید ٹپ لکھیں۔
102,آپ کو آئرلینڈ کیوں جانا چاہئے؟
103,ویگن کے طور پر ہم کون سے پکوان کھا سکتے ہیں؟
104,کرما کے تصور کی وضاحت کرنے والی کہانی بتائیں۔
105,البرٹ آئن سٹائن کی سوانح عمری لکھیں۔
106,ادب کی دو اقسام کے نام بتائیں۔
107,جعلی شے کی پانچ مثالوں کی فہرست فراہم کریں۔
108,10 اشیاء کی فہرست کو حفظ کرنے کے لیے سب سے مؤثر حکمت عملی کی وضاحت کریں۔
109,"ایک لفظ اور جملے کو دیکھتے ہوئے، شناخت کریں کہ آیا یہ لفظ جملے میں موجود ہے۔لفظ: پہاڑ
جملہ: پس منظر میں برف پوش پہاڑی چوٹیاں نظر آ رہی ہیں۔"
110,جملے کے معنی بیان کریں یہ راکٹ سائنس نہیں ہے
